 graph_name; #nodes; #edges; #cliques; time
league-be1-2016;16;120;8008;0.032367
moreno_seventh;29;250;634;0.007049
moreno_cattle;28;205;0;0.001353
brunson_club_membership;40;95;0;0.000320
brunson_south_africa;11;13;0;0.000211
moreno_sheep;28;235;69;0.003406
moreno_vdb;32;422;2667028;15.057428
league-uk1-2013;20;190;184756;0.797762
dolphins;62;159;0;0.000334
ucidata-zachary;34;78;0;0.000305
ucidata-gama;16;58;0;0.000227
moreno_highschool;70;274;0;0.000384
moreno_hens;32;496;0;120.000000
opsahl_southern_women;32;89;0;0.000363
league-fr1-2016;20;190;184756;0.804474
brunson_corporate_leadership;44;99;0;0.000365
mit;96;2539;0;120.000000
moreno_sampson;18;126;29;0.001756
moreno_les_miserables;77;254;2;0.000768
contiguous_usa;49;107;0;0.000326
league-de1-2016;18;153;43758;0.164833
moreno_bison;26;222;3207;0.018572
moreno_rhesus;16;69;0;0.000243
moreno_train;64;243;22;0.001276
brunson_southern_women;10;14;0;0.000217
moreno_taro;22;39;0;0.000229
moreno_zebra;27;111;8;0.001005
moreno_beach;43;336;0;0.002327
moreno_kangaroo;17;91;2;0.000863
moreno_macaques;62;1167;32168;0.361228
subelj_euroroad;1174;1417;0;0.002665
moreno_blogs_undirected;1224;16715;19484447;102.330053
arenas-email;1133;5451;66;0.015366
maayan_pdzbase;212;242;0;0.000618
radoslaw_email;167;3250;0;120.000000
unicodelang;868;1255;0;0.002598
maayan_foodweb_undirected;183;2434;49659;0.304318
sociopatterns_infectious;410;2765;14406;0.089091
moreno_oz;217;1839;3;0.009007
arenas_jazz;198;2742;0;120.000000
foodweb_baydry;253;2137;0;0.010610
foodweb_baywet_undirected;128;2075;0;0.027309
adjnoun_adjacency;112;425;0;0.000533
moreno_innovation;241;923;0;0.000959
sociopatterns_hypertext;113;2196;190340;1.379481
contact;274;2124;0;120.000000
brunson_revolution;141;160;0;0.000522
