 graph_name; #nodes; #edges; #cliques; time
league-be1-2016;16;120;1820;0.002115
moreno_seventh;29;250;2940;0.004333
moreno_cattle;28;205;1190;0.002472
brunson_club_membership;40;95;0;0.000878
brunson_south_africa;11;13;0;0.000271
moreno_sheep;28;235;2435;0.003480
moreno_vdb;32;422;18274;0.017956
league-uk1-2013;20;190;4845;0.004676
dolphins;62;159;27;0.001104
ucidata-zachary;34;78;11;0.000657
ucidata-gama;16;58;28;0.000616
moreno_highschool;70;274;154;0.001962
moreno_hens;32;496;35960;0.027206
opsahl_southern_women;32;89;0;0.000720
league-fr1-2016;20;190;4845;0.004544
brunson_corporate_leadership;44;99;0;0.000668
mit;96;2539;341214;0.315958
moreno_sampson;18;126;1132;0.001753
moreno_les_miserables;77;254;639;0.002134
contiguous_usa;49;107;0;0.000885
league-de1-2016;18;153;3060;0.003494
moreno_bison;26;222;3004;0.004019
moreno_rhesus;16;69;128;0.000825
moreno_train;64;243;897;0.006006
brunson_southern_women;10;14;0;0.000278
moreno_taro;22;39;0;0.000535
moreno_zebra;27;111;661;0.001408
moreno_beach;43;336;1950;0.003827
moreno_kangaroo;17;91;560;0.001159
moreno_macaques;62;1167;43826;0.052212
subelj_euroroad;1174;1417;0;0.002512
moreno_blogs_undirected;1224;16715;422327;0.590749
arenas-email;1133;5451;3419;0.033565
maayan_pdzbase;212;242;0;0.001964
radoslaw_email;167;3250;262542;0.261857
unicodelang;868;1255;0;0.004736
maayan_foodweb_undirected;183;2434;35978;0.040888
sociopatterns_infectious;410;2765;14448;0.028522
moreno_oz;217;1839;3531;0.014204
arenas_jazz;198;2742;78442;0.090112
foodweb_baydry;253;2137;0;0.010428
foodweb_baywet_undirected;128;2075;14126;0.025553
adjnoun_adjacency;112;425;58;0.002561
moreno_innovation;241;923;220;0.005850
sociopatterns_hypertext;113;2196;70199;0.079416
contact;274;2124;205994;0.167589
brunson_revolution;141;160;0;0.000556
